bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
C-50,C,50,V,sc,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,751.4,746.8,756.6,1.0198,26.495,387.515,kN,1120,5lg
C-50,C,50,V,sp,cen4,CORTANTE_APOIO_CENTRAL_LONG_1,1,804.0,797.7,811.0,0.905,23.135,385.111,kN,545,5lg
C-50,C,50,M+,mg,cen6,MOMENTO_(+)_INICIO_LONG_1,1,6609.2,6563.0,6661.3,0.9797,228.901,2729.331,kN.m,5202,5lg
C-50,C,50,M+,mt,cen8,MOMENTO_(+)_INICIO_LONG_1,1,6908.0,6861.2,6960.7,0.993,244.242,2878.502,kN.m,6194,5lg
C-50,C,50,M+,pb,cen2,MOMENTO_(+)_INICIO_LONG_1,1,5987.9,5941.7,6040.0,0.9322,190.362,2687.798,kN.m,936,5lg
C-50,C,50,M+,pr,cen6,MOMENTO_(+)_INICIO_LONG_1,1,6820.0,6772.0,6874.0,0.9787,236.586,2738.776,kN.m,6552,5lg
C-50,C,50,M+,rj,cen8,MOMENTO_(+)_INICIO_LONG_1,1,5697.9,5663.0,5737.2,1.128,287.352,2469.776,kN.m,2604,5lg
C-50,C,50,M+,sc,cen8,MOMENTO_(+)_INICIO_LONG_1,1,6196.5,6157.2,6240.7,1.0376,241.53,2673.13,kN.m,5936,5lg
C-50,C,50,M+,sp,cen8,MOMENTO_(+)_INICIO_LONG_1,1,6145.3,6103.3,6192.7,0.9879,215.187,2631.314,kN.m,4191,5lg
C-50,C,50,M-,mg,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,5072.0,5035.3,5113.3,1.0856,260.68,2353.55,kN.m,200,5lg
C-50,C,50,M-,mt,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,4774.8,4743.6,4809.9,1.162,276.984,2298.955,kN.m,200,5lg
C-50,C,50,M-,pb,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,4025.5,3988.3,4067.4,0.8781,126.292,2198.602,kN.m,20,5lg
C-50,C,50,M-,pr,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,4954.1,4919.0,4993.8,1.0199,201.978,2504.519,kN.m,200,5lg
C-50,C,50,M-,rj,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,4623.9,4585.0,4667.9,0.9917,202.921,2195.267,kN.m,72,5lg
C-50,C,50,M-,sc,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,4598.7,4567.9,4633.4,1.0351,186.286,2420.418,kN.m,200,5lg
C-50,C,50,M-,sp,cen4,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,5226.7,5178.7,5280.9,0.938,204.397,2206.989,kN.m,157,5lg
