UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used
RN,B,2S1,0.0017905102954341987,1,3979
RN,B,3C,0.9946284691136974,1,3979
RN,C,2I2,0.03558718861209965,1,3979
RN,C,2S2,0.2846975088967972,1,3979
RN,C,4CD,0.6797153024911032,1,3979
RN,D,2C3,0.001949317738791423,1,3979
RN,D,2I3,0.031189083820662766,1,3979
RN,D,2S3,0.9317738791423001,1,3979
RN,D,3C2,0.003898635477582846,1,3979
RN,D,3I2,0.005847953216374269,1,3979
RN,D,3S2,0.025341130604288498,1,3979
RN,E,2N4,0.0019723865877712033,1,3979
RN,E,2R4,0.0039447731755424065,1,3979
RN,E,3C3,0.0009861932938856016,1,3979
RN,E,3I1,0.008875739644970414,1,3979
RN,E,3I3,0.30078895463510846,1,3979
RN,E,3S3,0.6834319526627219,1,3979
RN,F,3D4,0.25263157894736843,1,3979
RN,F,3T4,0.6947368421052632,1,3979
RN,F,4DT,0.031578947368421054,1,3979
RN,F,4R3,0.021052631578947368,1,3979
RN,G,3P5,1.0,1,3979
RN,H,3M6,0.5970149253731343,1,3979
RN,H,3T6,0.40298507462686567,1,3979
RO,A,2C,1.0,2,8786
RO,B,2S1,0.0007299270072992701,2,8786
RO,B,3C,0.9992700729927008,2,8786
RO,C,2C2,0.00934793683138054,2,8786
RO,C,2I2,0.052878247580234336,2,8786
RO,C,2S2,0.09523688232297504,2,8786
RO,C,3S1,0.0016556291390728477,2,8786
RO,C,4CD,0.8408813041263372,2,8786
RO,D,2I3,0.009615384615384616,2,8786
RO,D,2S3,0.7193732193732194,2,8786
RO,D,3C2,0.07122507122507123,2,8786
RO,D,3I2,0.06801994301994302,2,8786
RO,D,3S2,0.13176638176638178,2,8786
RO,E,2N4,0.004635009020014489,2,8786
RO,E,2R4,0.0003160556257901391,2,8786
RO,E,3C3,0.0011235955056179776,2,8786
RO,E,3I1,0.0006321112515802782,2,8786
RO,E,3I3,0.15299436071535108,2,8786
RO,E,3LD,0.0011235955056179776,2,8786
RO,E,3S3,0.8391752723760281,2,8786
RO,F,3D4,0.002314814814814815,2,8786
RO,F,3T4,0.9717612853553773,2,8786
RO,F,4DT,0.024829807926088018,2,8786
RO,F,4R3,0.0010940919037199126,2,8786
RO,G,3P5,0.85,2,8786
RO,G,3V5,0.15,2,8786
RO,H,3M6,0.47368214349496973,2,8786
RO,H,3T6,0.5263178565050304,2,8786
RR,A,2C,0.8465309646455006,10,57304
RR,A,2CAR,4.3706293706293706e-05,10,57304
RR,A,2CB,0.00030412296037296034,10,57304
RR,A,2CC,0.15312120610042013,10,57304
RR,B,2I1,0.029183328313177083,10,57304
RR,B,2S1,0.0016067350308564341,10,57304
RR,B,3C,0.9678209302140612,10,57304
RR,B,3CB,0.00017985611510791367,10,57304
RR,B,3DB,0.0012091503267973856,10,57304
RR,C,2C2,0.005247480305100778,10,57304
RR,C,2I2,0.03263242587003701,10,57304
RR,C,2S2,0.20955066409954165,10,57304
RR,C,3S1,0.004323650598988144,10,57304
RR,C,4C,5.777007510109763e-05,10,57304
RR,C,4CD,0.7481880090512314,10,57304
RR,D,2C3,6.722689075630252e-05,10,57304
RR,D,2I3,0.009615124734567932,10,57304
RR,D,2LD,0.0009099200655872105,10,57304
RR,D,2S3,0.7964997900470744,10,57304
RR,D,3C2,0.035555816573033215,10,57304
RR,D,3I2,0.018409519553062765,10,57304
RR,D,3S2,0.13894260213591822,10,57304
RR,E,2D4,0.009076304472959484,10,57304
RR,E,2J4,1.4731879787860928e-05,10,57304
RR,E,2L4,1.4731879787860928e-05,10,57304
RR,E,2N4,0.0009347150744992627,10,57304
RR,E,2R4,0.0011571106600003413,10,57304
